feature,coef,pvalue
const,0.02268211285332623,0.46642896438164955
ret5_pre,0.04288348027086816,0.6824785194111181
ret20_pre,-0.00810730148550158,0.871980586996311
vol20_pre,-0.1702312514832994,0.7255523060488251
abvol_pre,-0.0010593745162021592,0.9371228216218542
post_count,-5.691970837449372e-07,0.9849469144070385
mean_sentiment,0.0681221975851684,0.20731049452156716
median_sentiment,0.01958193049344725,0.48657091823720533
std_sentiment,-1.636544590787048e-05,0.9995480607565599
frac_positive,-0.07177478620305261,0.06674795595843097
frac_negative,0.11023538932414295,0.008745759863896184
tk_AMD,0.014272798668348475,0.5309598166382431
tk_AMZN,-0.005028219933582837,0.8161347819835201
tk_BA,-0.019982663408451798,0.3597577800162592
tk_DIS,-0.014166756611889144,0.507577996268899
tk_GOOGL,-0.006854446426084827,0.7487434861357765
tk_GS,-0.004103468285798662,0.8491857460326727
tk_INTC,-0.04168551403553782,0.05214379986276764
tk_JPM,-0.01471728169723302,0.4963775071579424
tk_MSFT,0.0012714767644920145,0.9525598839929669
tk_MU,-0.0021595343386519262,0.923402581134164
tk_NFLX,-0.006375387000477171,0.7704229361660754
tk_NVDA,0.021565488623091888,0.32302174556959173
tk_TSLA,-0.0042969302772327906,0.8509934485396952
tk_WMT,-0.015690539342870017,0.49423548830112773
yr_2017,-0.00683128603877382,0.635591128605661
yr_2018,-0.01934727715379336,0.16910564352092222
yr_2019,-0.007357986101322982,0.6267495058565811
yr_2020,-0.02186777265771448,0.1837848535540566
yr_2021,-0.026193139345222473,0.10377594702446277
yr_2022,0.0,
yr_2023,0.0,
