feature,coef,num_scale
abvol_pre,6.184089782433356e-06,0.3380750938954629
ret20_pre,-3.859967626266914e-06,0.09652769071820769
ret5_pre,-4.549867650073517e-07,0.04431743555810286
tk_AMD,3.5318313875231308e-06,
tk_AMZN,-1.554606640468272e-06,
tk_BA,-9.141206257610737e-07,
tk_DIS,-1.2391088711156687e-06,
tk_GOOGL,7.672345976385636e-07,
tk_GS,3.2406751356854333e-07,
tk_INTC,-7.101156300222942e-06,
tk_JPM,-1.3573496416217778e-06,
tk_MSFT,2.1910402362933022e-06,
tk_MU,4.0501853643863876e-07,
tk_NFLX,-6.757692941255241e-07,
tk_NVDA,6.2836569480428605e-06,
tk_TSLA,-8.626056304508131e-07,
tk_WMT,-1.0332362939106974e-06,
vol20_pre,-3.2872787746490662e-06,0.01137216326338127
yr_2017,3.5773777361455494e-06,
yr_2018,-5.455698325316615e-06,
yr_2019,3.8290701893529574e-06,
yr_2020,-4.380338371818723e-06,
yr_2021,-6.430191362387824e-06,
yr_2022,0.0,
yr_2023,0.0,
