feature,coef,num_scale
abvol_pre,1.0906927573468527e-05,0.3380750938954629
frac_negative,5.6785760461369324e-05,0.16515677148048202
frac_positive,-2.595725645433489e-05,0.224333782257658
mean_sentiment,-1.986620270030669e-05,0.282981511313425
median_sentiment,-4.321804862807901e-06,0.3960050283012798
post_count,-1.4685681386966653e-05,147.23926460583354
ret20_pre,-6.785511786966039e-06,0.09652769071820769
ret5_pre,-7.151714461176647e-07,0.04431743555810286
std_sentiment,1.60179525202869e-05,0.1619332574287118
tk_AMD,6.285954306833264e-06,
tk_AMZN,-2.748316841034352e-06,
tk_BA,-1.6352915432717643e-06,
tk_DIS,-2.2037392551759537e-06,
tk_GOOGL,1.3574768345616567e-06,
tk_GS,5.864660673230286e-07,
tk_INTC,-1.2637289406331625e-05,
tk_JPM,-2.401572216221503e-06,
tk_MSFT,3.89758474187263e-06,
tk_MU,7.23234994343416e-07,
tk_NFLX,-1.2051104946663012e-06,
tk_NVDA,1.1168507550272368e-05,
tk_TSLA,-1.5315088288996832e-06,
tk_WMT,-1.8472354066483745e-06,
vol20_pre,-5.815363408959469e-06,0.01137216326338127
yr_2017,6.3448065717909585e-06,
yr_2018,-9.734130951654597e-06,
yr_2019,6.8470868180019536e-06,
yr_2020,-7.780496080860767e-06,
yr_2021,-1.1366757457509957e-05,
yr_2022,0.0,
yr_2023,0.0,
