ticker,unique_posts,post_ticker_rows,real_body_posts,multi_ticker_posts,multi_ticker_share,real_body_share
TSLA,37998,37998,7398,4150,0.109,0.195
AAPL,10465,10465,4709,4196,0.401,0.45
GOOGL,10338,10338,5430,3510,0.34,0.525
AMZN,9862,9862,4496,4140,0.42,0.456
MSFT,5417,5417,2560,2365,0.437,0.473
AMD,4647,4647,1993,1742,0.375,0.429
NFLX,4557,4557,1929,1654,0.363,0.423
NVDA,3904,3904,1748,1570,0.402,0.448
JPM,3075,3075,1782,1301,0.423,0.58
DIS,3009,3009,1399,1109,0.369,0.465
MU,2340,2340,1070,685,0.293,0.457
GS,2314,2314,1395,1179,0.51,0.603
INTC,2241,2241,1183,1186,0.529,0.528
BA,2113,2113,1163,957,0.453,0.55
WMT,1738,1738,1007,849,0.488,0.579
