metric,count,note
Raw WSB posts in p4p dump,2275310,"title + selftext, 2012-04-11 → 2023-03-28"
Posts with real body text,148883,selftext not empty / [removed] / [deleted]
Posts in safe window (2016 → 2023-03-28),2259662,window used for all downstream matching
Real-body posts in safe window,141503,
Posts matched to ≥1 ticker (global),83732,cashtag / alias / ticker+cue hierarchy
Post-ticker match rows,104018,"one row per (post, matched ticker)"
Multi-ticker posts (≥2 tickers),10307,share: 12.3%
Posts linked to an earnings window,17847,"10-day pre-earnings window, excl. rdq"
Post-event link rows,20700,"one row per (post, earnings event)"
Real-body post-event links,8833,
Earnings events in final dataset,435,"15 tickers × 29 quarters, 2016 → 2023-Q1"
Events with ≥1 matched post,425,97.7% of events
Events with thin coverage (<10 posts),113,26.0% of events
