ticker,events_total,post_event_links,real_body_links,mean_posts,median_posts,min_posts,max_posts,events_zero_posts,events_thin_lt10
TSLA,29,5997,1469,206.8,155.0,10,1561,0,0
GOOGL,29,3217,1116,110.9,31.0,11,2011,0,0
AMZN,29,2138,1029,73.7,54.0,1,466,0,3
AAPL,29,1776,935,61.2,54.0,14,226,0,0
MSFT,29,1026,628,35.4,23.0,1,123,0,7
NVDA,29,1020,524,35.2,29.0,2,179,0,3
MU,29,865,443,32.0,15.0,1,175,2,13
AMD,29,796,439,27.4,22.0,2,92,0,4
NFLX,29,792,391,27.3,20.0,2,102,0,6
DIS,29,721,351,25.8,13.5,1,188,1,11
BA,29,565,379,21.7,6.5,1,123,3,18
WMT,29,528,318,18.9,13.0,1,108,1,13
INTC,29,480,335,17.8,11.0,2,92,2,13
JPM,29,440,287,15.2,12.0,2,58,0,9
GS,29,339,189,12.1,11.0,1,37,1,13
