ticker,events,zero_events,thin_events,mean_posts,mean_sent,mean_fracpos,mean_fracneg
TSLA,29,0,0,206.8,-0.1076,0.1944,0.393
GOOGL,29,0,0,110.9,-0.1072,0.2312,0.4275
AMZN,29,0,3,73.7,-0.1093,0.2616,0.4403
AAPL,29,0,0,61.2,-0.1224,0.2276,0.4424
MSFT,29,0,7,35.4,-0.1543,0.2415,0.4992
NVDA,29,0,3,35.2,-0.0691,0.2364,0.4138
MU,29,2,13,29.8,-0.1107,0.1796,0.4058
AMD,29,0,4,27.4,-0.1076,0.2499,0.4052
NFLX,29,0,6,27.3,-0.1257,0.2245,0.4687
DIS,29,1,11,24.9,-0.1294,0.2065,0.4616
BA,29,3,18,19.5,-0.1663,0.1767,0.4781
WMT,29,1,13,18.2,-0.0716,0.2733,0.372
INTC,29,2,13,16.6,-0.0758,0.2843,0.4072
JPM,29,0,9,15.2,-0.1834,0.234,0.474
GS,29,1,13,11.7,-0.0458,0.261,0.4171
