ticker,events,zero_events,thin_events,mean_posts,mean_sent,mean_fracpos,mean_fracneg
TSLA,29,0,0,206.8,0.1998,0.4411,0.1825
GOOGL,29,0,0,110.9,0.2786,0.5516,0.2371
AMZN,29,0,3,73.7,0.3374,0.6758,0.1705
AAPL,29,0,0,61.2,0.259,0.524,0.1971
MSFT,29,0,7,35.4,0.3242,0.584,0.1789
NVDA,29,0,3,35.2,0.2666,0.5061,0.1676
MU,29,2,13,29.8,0.2629,0.4921,0.1729
AMD,29,0,4,27.4,0.3003,0.5717,0.1582
NFLX,29,0,6,27.3,0.2529,0.5099,0.1828
DIS,29,1,11,24.9,0.3193,0.5583,0.1793
BA,29,3,18,19.5,0.3043,0.549,0.2691
WMT,29,1,13,18.2,0.2808,0.5378,0.207
INTC,29,2,13,16.6,0.3021,0.5471,0.2334
JPM,29,0,9,15.2,0.4211,0.6701,0.1741
GS,29,1,13,11.7,0.3834,0.6112,0.1483
