ticker,events,zero,thin,posts_mean,posts_med,posts_min,posts_max,unique_posts,linked_posts,multi_share,ev_mean_sent,mean_compound,pct_pos,pct_neg
TSLA,29,0,0,206.8,155.0,10,1561,5997,5997,0.154,0.2,0.201,43.2,16.3
GOOGL,29,0,0,110.9,31.0,11,2011,3217,3217,0.222,0.279,0.182,48.2,25.7
AMZN,29,0,3,73.7,54.0,1,466,2138,2138,0.459,0.337,0.388,69.9,16.5
AAPL,29,0,0,61.2,54.0,14,226,1776,1776,0.47,0.259,0.339,56.7,16.7
MSFT,29,0,7,35.4,23.0,1,123,1026,1026,0.579,0.324,0.476,66.2,10.6
NVDA,29,0,3,35.2,29.0,2,179,1020,1020,0.453,0.267,0.358,57.2,15.0
MU,29,2,13,29.8,13.0,0,175,865,865,0.358,0.263,0.311,54.0,16.8
AMD,29,0,4,27.4,22.0,2,92,796,796,0.501,0.3,0.38,60.9,14.4
NFLX,29,0,6,27.3,20.0,2,102,792,792,0.428,0.253,0.255,50.3,18.6
DIS,29,1,11,24.9,13.0,0,188,721,721,0.35,0.319,0.368,58.3,13.2
BA,29,3,18,19.5,6.0,0,123,565,565,0.581,0.304,0.492,66.0,16.3
WMT,29,1,13,18.2,13.0,0,108,528,528,0.515,0.281,0.44,62.3,15.0
INTC,29,2,13,16.6,10.0,0,92,480,480,0.706,0.302,0.466,66.0,17.9
JPM,29,0,9,15.2,12.0,2,58,440,440,0.423,0.421,0.438,68.2,17.3
GS,29,1,13,11.7,11.0,0,37,339,339,0.504,0.383,0.36,60.5,16.8
