ticker,events,total,mean,median,min,max,zero,thin_lt10,rb_total,rb_mean,rb_min,rb_max
TSLA,29,5997,206.79310344827587,155.0,10,1561,0,0,1469,50.6551724137931,4,156
GOOGL,29,3217,110.93103448275862,31.0,11,2011,0,0,1116,38.48275862068966,7,303
AMZN,29,2138,73.72413793103448,54.0,1,466,0,3,1029,35.48275862068966,0,149
AAPL,29,1776,61.241379310344826,54.0,14,226,0,0,935,32.241379310344826,6,140
MSFT,29,1026,35.37931034482759,23.0,1,123,0,7,628,21.655172413793103,0,114
NVDA,29,1020,35.172413793103445,29.0,2,179,0,3,524,18.06896551724138,0,163
MU,29,865,29.82758620689655,13.0,0,175,2,13,443,15.275862068965518,0,98
AMD,29,796,27.448275862068964,22.0,2,92,0,4,439,15.137931034482758,0,66
NFLX,29,792,27.310344827586206,20.0,2,102,0,6,391,13.482758620689655,1,59
DIS,29,721,24.862068965517242,13.0,0,188,1,11,351,12.10344827586207,0,60
BA,29,565,19.482758620689655,6.0,0,123,3,18,379,13.068965517241379,0,97
WMT,29,528,18.20689655172414,13.0,0,108,1,13,318,10.96551724137931,0,105
INTC,29,480,16.551724137931036,10.0,0,92,2,13,335,11.551724137931034,0,90
JPM,29,440,15.172413793103448,12.0,2,58,0,9,287,9.89655172413793,1,39
GS,29,339,11.689655172413794,11.0,0,37,1,13,189,6.517241379310345,0,26
